source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height
31,31,516.6666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,853.1116809844971,341.14907455444336,872.6315789473683,366.0902255639098,776.2781954887217,233.7593984962406,192.70676691729324,264.6616541353384
32,32,533.3333333333334,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,853.1674709320068,342.5362129211426,871.2218045112783,365.5827067669173,776.0526315789474,233.68421052631578,190.33834586466168,263.796992481203
33,33,550.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,850.571008682251,344.6121292114258,869.812030075188,365.07518796992485,775.827067669173,233.60902255639098,187.96992481203011,262.9323308270677
34,34,566.6666666666666,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,848.2965850830078,350.9533271789551,868.4022556390978,364.56766917293237,775.6015037593985,233.53383458646618,185.6015037593985,262.06766917293237
35,35,583.3333333333334,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,847.1523990631104,351.2972412109375,866.9924812030075,364.0601503759399,775.375939849624,233.45864661654136,183.23308270676694,261.203007518797
36,36,600.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,847.2883834838867,351.88367080688477,865.5827067669172,363.5526315789474,775.1503759398496,233.38345864661653,180.86466165413538,260.3383458646617
37,37,616.6666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,839.5028896331787,351.92872619628906,864.172932330827,363.0451127819549,774.9248120300751,233.30827067669173,178.4962406015038,259.47368421052636
38,38,633.3333333333333,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,838.1741466522217,355.6809616088867,862.7631578947368,362.5375939849624,774.6992481203007,233.23308270676694,176.1278195488722,258.609022556391
39,39,650.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,838.5437068939209,358.21191787719727,861.3533834586466,362.03007518796994,774.4736842105262,233.1578947368421,173.75939849624064,257.74436090225566
40,40,666.6666666666666,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,835.7010498046875,365.0342254638672,859.9436090225564,361.52255639097746,774.2481203007519,233.08270676691728,171.39097744360907,256.87969924812035
41,41,683.3333333333334,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,833.542179107666,359.22277069091797,858.5338345864662,361.01503759398497,774.0225563909775,233.00751879699249,169.02255639097748,256.01503759398497
42,42,700.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,827.9813938140869,357.7358703613281,857.124060150376,360.5075187969925,773.796992481203,232.9323308270677,166.6541353383459,255.15037593984965
43,43,716.6666666666666,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,828.6019458770752,355.9172019958496,855.7142857142858,360.0,773.5714285714286,232.85714285714286,164.28571428571433,254.2857142857143
44,44,733.3333333333333,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,827.0734348297119,355.2965202331543,844.8214285714286,363.57142857142856,759.2857142857142,233.57142857142858,171.0714285714286,260.0
45,45,750.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,826.7755889892578,363.1045951843262,833.9285714285714,367.1428571428571,745.0,234.28571428571428,177.8571428571429,265.7142857142857
46,46,766.6666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,825.9472465515137,364.65283203125,823.0357142857143,370.7142857142857,730.7142857142858,235.0,184.64285714285717,271.42857142857144
47,47,783.3333333333334,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,821.0941047668457,366.9278106689453,812.1428571428571,374.28571428571433,716.4285714285714,235.71428571428572,191.42857142857144,277.14285714285717
48,48,800.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,824.0461044311523,371.0775146484375,809.047619047619,378.0952380952381,716.9047619047619,239.04761904761907,184.2857142857143,278.0952380952381
49,49,816.6666666666666,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,818.9880027770996,364.88043212890625,805.952380952381,381.9047619047619,717.3809523809524,242.38095238095238,177.14285714285714,279.04761904761904
50,50,833.3333333333334,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,811.6584320068359,353.68135833740234,802.8571428571429,385.71428571428567,717.8571428571429,245.71428571428572,170.0,279.99999999999994
51,51,850.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,814.6012992858887,366.56177520751953,785.4761904761905,378.33333333333337,694.047619047619,239.04761904761907,182.85714285714286,278.57142857142856
52,52,866.6666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,804.7380676269531,358.2025947570801,768.0952380952382,370.95238095238096,670.2380952380953,232.38095238095238,195.7142857142857,277.1428571428571
53,53,883.3333333333333,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,791.5099792480469,374.5956039428711,750.7142857142858,363.57142857142856,646.4285714285714,225.71428571428572,208.57142857142856,275.7142857142857
