frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
60,60,35,1000.0,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,641.6133155822754,512.7202301025391,645.8544998168945,464.5691909790039,1.5998769195909666,1.0651389402213194,48.337461790915285,0.005651756088937722,614.6334609985352,451.2275619506836,44.505149841308594,110.10929107666016,636.8860359191895,506.2822074890137,118.76348068241349,0.03810488927325774,622.0202334630351,543.1456236262466,39.74800035186937,0.0951996235554064,1.0,True
61,61,36,1016.6666666666666,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,644.2061538696289,513.4469375610352,646.5737228393555,464.3018226623535,2.692752145036777,0.7673119136220353,49.202110739591575,0.019786299977156693,622.8987884521484,450.01768493652344,35.81654357910156,106.55596923828125,640.8070602416992,503.29566955566406,112.41440910427463,0.14528975604933841,626.8015564202335,543.4446303004147,42.52167901408196,0.1017851891939813,1.0,True
62,62,37,1033.3333333333335,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,665.4755554199219,506.8170166015625,667.3638916015625,464.31632232666016,22.27876330132487,20.790173818448803,42.54262365420838,0.15239318727804757,643.0408325195312,449.0813293457031,33.87060546875,110.03756713867188,659.9761352539062,504.10011291503906,115.13246326131235,0.06219892476321119,637.1112840466926,544.1921469858347,46.153793090729366,0.11219456541611306,1.0,True
63,63,38,1050.0,VALID_TARGET,,False,,,,,True,2,2,1,True,False,False,False,665.7807846069336,507.1870651245117,667.3998069763184,464.2306785583496,0.479688196582669,0.0928696354805189,42.98688614280081,0.010166334997972724,642.8851852416992,449.6848602294922,36.16014862060547,111.905517578125,660.965259552002,505.6376190185547,117.60272621284048,0.05652856440318284,647.4210116731517,544.9396636712548,41.570390477918,0.102602435758659,1.0,True
64,64,39,1066.6666666666667,VALID_TARGET,,False,,,,,True,2,2,0,True,False,False,False,665.1682167053223,505.24090576171875,667.6345062255859,465.0752754211426,2.0402881412857448,0.876600021815246,40.241277870534574,0.06282946272934313,643.498893737793,450.1254348754883,35.890289306640625,108.41944122314453,661.4440383911133,504.33515548706055,114.20546441240565,0.0777416559486326,657.7307392996108,545.687180356675,41.518412192184826,0.10402271794920978,1.0,True
65,65,40,1083.3333333333333,VALID_TARGET,,False,,,,,True,2,2,0,True,False,False,False,685.1652946472168,506.8175582885742,686.9512825012207,467.1546440124512,20.05913655680734,19.428371507191404,39.70310468325789,0.012315351958064527,659.0407562255859,453.21842193603516,32.06468200683594,109.98528289794922,675.0730972290039,508.21106338500977,114.56398337322874,0.008204212492485133,668.04046692607,546.434697042095,38.86520370368333,0.09882161683685682,1.0,True
66,66,41,1100.0,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,685.6845703125,504.91107177734375,686.449836730957,466.65827560424805,1.9759397850286424,0.7055703063319992,38.26045017706435,0.03301316085174464,660.6233825683594,452.79139709472656,30.89178466796875,108.85783386230469,676.0692749023438,507.2203140258789,113.15622100956394,0.03221470224033213,678.3501945525292,547.1822137275152,40.02694120482155,0.10325725758287695,1.0,True
67,67,42,1116.6666666666667,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,685.4931411743164,505.5105895996094,686.7190818786621,466.2190361022949,0.629338330439066,0.5151934487537265,39.31067420997629,0.024032930116005557,664.7716827392578,452.50523376464844,35.03273010253906,111.46438598632812,682.2880477905273,508.2374267578125,116.84006813480762,0.08429976628277445,686.568093385214,546.658952047721,38.659182555968144,0.10055175295248336,1.0,True
68,68,43,1133.3333333333333,VALID_TARGET,,False,,,,,True,2,1,0,False,False,False,False,703.9883766174316,502.23272705078125,705.1397933959961,467.8537406921387,18.783453276362042,18.493103360466495,34.39826250911072,0.11241377402172739,671.9527626037598,453.9251022338867,40.7142448425293,96.4615707397461,692.3098850250244,502.15588760375977,104.70188328142174,0.27776563778277163,694.7859922178989,546.135690367927,44.049451279279985,0.11552485441733734,1.0,True
69,69,44,1150.0,VALID_TARGET,,False,,,,,True,2,2,0,True,False,False,False,701.8744277954102,534.4051818847656,709.9443283081055,499.7670440673828,32.24183043294674,32.272937394077516,35.5657684542427,0.02671676509970943,678.1445503234863,476.7222671508789,34.77882766723633,75.78279876708984,695.5339641571045,514.6136665344238,83.3822489675144,0.4878704595478347,703.0038910505837,545.6124286881329,31.886095133398676,0.08432645361981739,1.0,True
